temperature_2m_max,temperature_2m_min,shortwave_radiation_sum,cloudcover_mean,relative_humidity_2m_mean,windspeed_10m_max,date
18.4,10.4,12.82,41,86,9.8,2026-01-29
19.5,8.5,14.43,65,82,7.2,2026-01-30
19.9,9.2,13.51,47,87,8.7,2026-01-31
20.8,12.4,13.73,33,83,13.0,2026-02-01
19.7,12.7,11.79,69,89,8.7,2026-02-02
19.6,10.4,14.34,53,82,6.6,2026-02-03
20.2,10.7,15.82,20,77,9.8,2026-02-04
21.3,10.6,16.12,3,72,11.9,2026-02-05
22.6,10.8,16.12,0,68,14.4,2026-02-06
23.6,12.5,16.08,14,68,15.1,2026-02-07
22.8,11.4,16.62,31,62,11.8,2026-02-08
24.0,10.5,15.22,52,61,8.3,2026-02-09
27.2,11.6,16.28,16,60,7.2,2026-02-10
27.1,14.6,16.55,4,58,11.6,2026-02-11
25.1,13.0,17.21,30,54,12.6,2026-02-12
25.5,12.7,16.33,86,53,9.7,2026-02-13
26.9,12.5,17.25,33,52,11.4,2026-02-14
28.1,13.5,17.41,0,53,12.3,2026-02-15
30.3,13.1,17.41,3,50,12.1,2026-02-16
29.2,15.9,17.55,2,54,12.5,2026-02-17
23.9,16.1,9.27,89,73,9.2,2026-02-18
26.3,13.9,16.43,16,67,7.6,2026-02-19
27.9,15.0,17.72,0,64,10.4,2026-02-20
27.2,14.8,17.98,0,62,11.0,2026-02-21
28.4,14.7,18.46,0,55,9.0,2026-02-22
29.4,14.8,18.05,2,53,11.7,2026-02-23
29.6,15.9,18.67,0,52,11.4,2026-02-24
29.0,14.9,19.27,0,48,11.1,2026-02-25
29.7,15.5,19.21,0,45,14.5,2026-02-26
30.8,16.0,19.22,4,42,11.1,2026-02-27
31.9,21.3,18.38,36,41,13.5,2026-02-28
30.6,17.2,19.54,1,46,16.8,2026-03-01
30.8,17.2,19.56,1,44,17.1,2026-03-02
31.4,17.7,19.96,0,41,18.5,2026-03-03
33.2,18.3,19.77,0,43,16.6,2026-03-04
34.0,20.9,19.88,0,47,16.7,2026-03-05
34.5,19.5,20.16,0,46,11.3,2026-03-06
35.3,20.1,20.17,0,53,9.3,2026-03-07
35.8,20.8,20.29,8,47,12.1,2026-03-08
35.5,20.7,20.12,35,49,11.7,2026-03-09
35.5,22.4,20.23,20,51,11.1,2026-03-10
36.3,20.5,20.96,28,39,16.9,2026-03-11
35.9,21.2,19.79,80,33,16.0,2026-03-12
32.5,21.7,18.91,83,44,14.0,2026-03-13
33.1,20.1,18.26,57,35,12.8,2026-03-14
27.3,18.2,18.7,47,56,14.8,2026-03-15
30.8,17.4,20.17,29,50,16.5,2026-03-16
31.5,17.4,20.93,58,50,10.7,2026-03-17
32.2,19.3,19.7,67,57,14.5,2026-03-18
27.1,18.3,14.63,83,66,16.6,2026-03-19
20.6,16.4,9.34,73,86,11.4,2026-03-20
25.5,14.8,19.9,71,77,9.6,2026-03-21
27.1,16.2,21.51,26,66,12.0,2026-03-22
26.9,17.9,13.28,59,70,13.4,2026-03-23
29.7,18.1,21.75,8,64,12.1,2026-03-24
31.5,17.7,22.47,37,50,12.0,2026-03-25
34.8,21.0,18.96,66,43,14.7,2026-03-26
29.3,22.1,17.63,46,49,12.6,2026-03-27
33.0,20.8,21.72,53,44,11.0,2026-03-28
35.0,22.8,19.13,62,47,13.3,2026-03-29
34.7,21.7,18.59,93,50,21.8,2026-03-30
35.0,21.3,18.31,74,54,13.0,2026-03-31
33.1,19.6,18.98,65,51,8.2,2026-04-01
34.3,21.7,17.86,56,47,13.6,2026-04-02
32.1,22.3,16.75,92,54,15.5,2026-04-03
30.3,21.2,16.62,94,64,9.1,2026-04-04
29.3,19.8,19.65,28,57,13.6,2026-04-05
31.7,20.8,22.28,12,39,17.7,2026-04-06
28.8,18.0,12.71,72,57,15.5,2026-04-07
25.5,17.0,20.51,41,73,11.9,2026-04-08
28.7,16.1,22.18,8,61,12.4,2026-04-09
31.2,17.8,24.02,0,43,19.9,2026-04-10
32.9,21.7,21.17,29,33,14.3,2026-04-11
34.2,23.0,24.13,4,31,16.2,2026-04-12
34.6,21.8,24.4,18,28,14.9,2026-04-13
37.5,23.0,23.88,6,25,12.6,2026-04-14
38.7,23.7,24.57,4,22,14.7,2026-04-15
39.9,26.2,24.02,51,22,14.3,2026-04-16
40.2,26.3,18.32,68,25,14.8,2026-04-17
40.2,25.0,24.03,40,29,11.4,2026-04-18
40.1,26.0,21.47,64,22,18.1,2026-04-19
39.6,26.7,23.31,9,22,16.5,2026-04-20
38.6,26.0,24.39,3,18,18.9,2026-04-21
40.3,26.0,24.51,11,21,16.7,2026-04-22
41.2,27.9,24.33,0,18,12.6,2026-04-23
42.0,27.5,22.72,19,23,12.6,2026-04-24
42.3,29.1,20.88,40,23,17.9,2026-04-25
41.6,28.8,20.98,32,23,20.7,2026-04-26
42.2,28.6,23.3,56,22,21.6,2026-04-27
37.1,29.7,20.35,57,31,12.4,2026-04-28
37.1,27.0,20.36,48,37,11.5,2026-04-29
37.7,25.4,21.34,21,41,15.1,2026-04-30
36.6,23.1,23.38,9,49,12.3,2026-05-01
36.1,26.3,21.54,19,42,14.5,2026-05-02
34.8,25.8,20.79,28,44,15.9,2026-05-03
29.8,21.0,20.67,52,65,20.2,2026-05-04
30.5,22.6,19.09,40,66,14.2,2026-05-05
34.7,21.9,22.98,9,48,10.9,2026-05-06
30.5,23.0,20.1,28,50,19.2,2026-05-07
34.4,22.1,22.6,12,54,14.5,2026-05-08
35.5,24.8,22.49,7,46,11.9,2026-05-09
37.3,26.3,22.47,19,43,12.2,2026-05-10
37.7,27.3,19.95,45,41,10.0,2026-05-11
38.8,27.9,21.87,54,45,17.3,2026-05-12
39.1,26.7,23.69,22,47,11.7,2026-05-13
39.4,25.9,23.37,47,40,15.4,2026-05-14
40.0,28.6,23.5,23,31,16.8,2026-05-15
40.4,29.0,23.65,4,29,17.1,2026-05-16
41.3,29.9,23.58,4,26,21.5,2026-05-17
43.3,30.0,24.17,3,25,18.6,2026-05-18
44.4,31.1,24.92,0,18,16.1,2026-05-19
43.6,32.1,23.57,4,20,11.6,2026-05-20
42.8,33.2,24.59,7,22,18.8,2026-05-21
42.0,32.0,24.58,3,19,14.3,2026-05-22
41.3,31.6,22.82,7,22,18.1,2026-05-23
42.3,30.0,23.41,6,22,16.8,2026-05-24
43.0,32.8,23.22,11,19,16.5,2026-05-25
42.6,31.8,24.81,2,17,19.5,2026-05-26
43.4,31.4,25.28,0,17,19.1,2026-05-27
40.4,28.7,22.48,30,39,18.6,2026-05-28
33.8,26.0,20.71,31,56,15.5,2026-05-29
35.5,24.0,21.38,44,64,13.6,2026-05-30
33.1,23.3,22.56,29,64,12.9,2026-05-31
33.1,24.6,20.92,31,62,13.1,2026-06-01
36.5,24.4,22.47,22,52,10.8,2026-06-02
38.5,29.1,23.08,12,43,11.1,2026-06-03
39.5,28.1,21.42,38,44,14.8,2026-06-04
34.7,25.1,16.9,61,57,13.9,2026-06-05
40.3,28.5,22.7,11,44,12.5,2026-06-06
40.4,28.9,21.22,16,43,20.9,2026-06-07
42.1,29.9,23.52,7,31,17.6,2026-06-08
43.0,31.6,24.09,6,28,18.7,2026-06-09
43.6,31.3,23.5,14,28,14.8,2026-06-10
36.8,27.4,23.55,16,47,19.8,2026-06-11
32.6,23.3,22.56,36,75,19.6,2026-06-12
33.7,24.8,20.26,46,68,8.3,2026-06-13
36.8,26.0,22.83,16,60,10.8,2026-06-14
36.3,26.5,21.45,52,54,18.8,2026-06-15
32.3,25.2,14.53,58,64,17.5,2026-06-16
37.3,24.7,24.17,7,53,11.6,2026-06-17
39.4,29.5,23.35,22,42,15.3,2026-06-18
38.1,28.2,23.08,25,41,13.5,2026-06-19
38.1,30.7,23.23,15,42,14.9,2026-06-20
38.5,30.1,15.45,43,39,13.0,2026-06-21
36.7,28.5,17.36,45,41,14.8,2026-06-22
38.7,30.3,21.14,26,43,17.8,2026-06-23
38.1,28.6,20.37,31,47,21.3,2026-06-24
39.0,30.2,22.12,24,44,10.9,2026-06-25
40.7,29.8,22.56,28,44,7.4,2026-06-26
40.1,26.8,23.57,16,46,12.8,2026-06-27
41.9,29.5,23.52,19,43,14.3,2026-06-28
41.7,32.1,22.79,15,40,13.7,2026-06-29
39.5,28.9,15.31,71,54,14.4,2026-06-30
32.7,26.9,13.84,85,74,13.8,2026-07-01
31.5,25.9,12.77,84,78,7.4,2026-07-02
34.5,27.0,16.93,84,71,7.9,2026-07-03
36.5,29.2,18.13,98,69,6.8,2026-07-04
34.5,28.8,18.75,91,76,8.8,2026-07-05
36.7,26.8,22.06,57,71,7.3,2026-07-06
32.8,26.5,16.51,88,85,9.8,2026-07-07
29.3,26.1,9.3,100,91,10.8,2026-07-08
29.2,25.0,7.02,99,91,18.9,2026-07-09
33.0,25.5,22.6,63,81,11.5,2026-07-10
34.3,27.4,21.17,48,76,11.8,2026-07-11
35.0,28.7,23.17,33,69,12.3,2026-07-12
35.8,28.4,23.7,47,64,13.7,2026-07-13
36.2,26.1,22.85,53,70,19.6,2026-07-14
